Year,Geography,Age Group,Gender,Indicators,VALUE
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily or occasionally",84.4
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily or occasionally",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily",7600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily",5400.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily",9800.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Smoking, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Cannabis use in the past 12 months,6000.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Cannabis use in the past 12 months,3800.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Cannabis use in the past 12 months,8100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Cannabis use in the past 12 months,80.3
2023,Newfoundland and Labrador,12 to 14 years,Male,Cannabis use in the past 12 months,64.2
2023,Newfoundland and Labrador,12 to 14 years,Male,Cannabis use in the past 12 months,96.4
2023,Newfoundland and Labrador,12 to 14 years,Male,"Cannabis use in the past 12 months, daily or almost daily",7100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Cannabis use in the past 12 months, daily or almost daily",4900.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Cannabis use in the past 12 months, daily or almost daily",9300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Cannabis use in the past 12 months, daily or almost daily",95.3
2023,Newfoundland and Labrador,12 to 14 years,Male,"Cannabis use in the past 12 months, daily or almost daily",86.2
2023,Newfoundland and Labrador,12 to 14 years,Male,"Cannabis use in the past 12 months, daily or almost daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Used  e-cigarette or vaping device, past 30 days",6000.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Used  e-cigarette or vaping device, past 30 days",3800.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Used  e-cigarette or vaping device, past 30 days",8100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Used  e-cigarette or vaping device, past 30 days",78.4
2023,Newfoundland and Labrador,12 to 14 years,Male,"Used  e-cigarette or vaping device, past 30 days",62.1
2023,Newfoundland and Labrador,12 to 14 years,Male,"Used  e-cigarette or vaping device, past 30 days",94.7
2023,Newfoundland and Labrador,12 to 14 years,Male,"Self-reported physical activity, average 60 or more minutes per day",4600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Self-reported physical activity, average 60 or more minutes per day",2600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Self-reported physical activity, average 60 or more minutes per day",6600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Self-reported physical activity, average 60 or more minutes per day",87.7
2023,Newfoundland and Labrador,12 to 14 years,Male,"Self-reported physical activity, average 60 or more minutes per day",72.3
2023,Newfoundland and Labrador,12 to 14 years,Male,"Self-reported physical activity, average 60 or more minutes per day",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Headache,5000.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Headache,2900.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Headache,7200.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Headache,59.3
2023,Newfoundland and Labrador,12 to 14 years,Male,Headache,39.2
2023,Newfoundland and Labrador,12 to 14 years,Male,Headache,79.3
2023,Newfoundland and Labrador,12 to 14 years,Male,Stomach ache,5100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Stomach ache,2900.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Stomach ache,7300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Stomach ache,62.8
2023,Newfoundland and Labrador,12 to 14 years,Male,Stomach ache,43.4
2023,Newfoundland and Labrador,12 to 14 years,Male,Stomach ache,82.3
2023,Newfoundland and Labrador,12 to 14 years,Male,Backache,4300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Backache,2200.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Backache,6500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Backache,53.2
2023,Newfoundland and Labrador,12 to 14 years,Male,Backache,31.7
2023,Newfoundland and Labrador,12 to 14 years,Male,Backache,74.8
2023,Newfoundland and Labrador,12 to 14 years,Male,Difficulties in getting to sleep,4500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Difficulties in getting to sleep,2400.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Difficulties in getting to sleep,6600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Difficulties in getting to sleep,55.5
2023,Newfoundland and Labrador,12 to 14 years,Male,Difficulties in getting to sleep,34.7
2023,Newfoundland and Labrador,12 to 14 years,Male,Difficulties in getting to sleep,76.2
2023,Newfoundland and Labrador,12 to 14 years,Male,Changed eating habits to manage weight,7700.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Changed eating habits to manage weight,5500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Changed eating habits to manage weight,9900.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Changed eating habits to manage weight,90.5
2023,Newfoundland and Labrador,12 to 14 years,Male,Changed eating habits to manage weight,77.8
2023,Newfoundland and Labrador,12 to 14 years,Male,Changed eating habits to manage weight,100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Changed eating habits to manage weight, daily",7800.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Changed eating habits to manage weight, daily",5600.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Changed eating habits to manage weight, daily",10000.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Changed eating habits to manage weight, daily",91.5
2023,Newfoundland and Labrador,12 to 14 years,Male,"Changed eating habits to manage weight, daily",78.9
2023,Newfoundland and Labrador,12 to 14 years,Male,"Changed eating habits to manage weight, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Preoccupied with a desire to be thinner,7700.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Preoccupied with a desire to be thinner,5500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Preoccupied with a desire to be thinner,10000.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Preoccupied with a desire to be thinner,90.6
2023,Newfoundland and Labrador,12 to 14 years,Male,Preoccupied with a desire to be thinner,77.9
2023,Newfoundland and Labrador,12 to 14 years,Male,Preoccupied with a desire to be thinner,100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Preoccupied with a desire to be thinner, daily",8300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Preoccupied with a desire to be thinner, daily",6000.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Preoccupied with a desire to be thinner, daily",10500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Preoccupied with a desire to be thinner, daily",96.9
2023,Newfoundland and Labrador,12 to 14 years,Male,"Preoccupied with a desire to be thinner, daily",92.3
2023,Newfoundland and Labrador,12 to 14 years,Male,"Preoccupied with a desire to be thinner, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Vomited to lose weight,8500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Vomited to lose weight,6300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Vomited to lose weight,10700.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Vomited to lose weight,100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Vomited to lose weight,100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,Vomited to lose weight,100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Vomited to lose weight, daily",8500.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Vomited to lose weight, daily",6300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Vomited to lose weight, daily",10700.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Vomited to lose weight, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Vomited to lose weight, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Vomited to lose weight, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",6100.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",3800.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",8300.0
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",71.4
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",54.4
2023,Newfoundland and Labrador,12 to 14 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",88.4
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",3200.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",1300.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",5000.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",40.8
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",20.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",61.6
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,3600.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,1800.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,5300.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,46.2
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,26.7
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,65.8
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, excellent or very good",4900.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, excellent or very good",3100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, excellent or very good",6800.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, excellent or very good",64.1
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, excellent or very good",45.1
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, excellent or very good",83.1
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",2300.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",800.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",3800.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",30.2
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",12.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, excellent or very good",48.4
2023,Newfoundland and Labrador,12 to 14 years,Female,"Life satisfaction, satisfied or very satisfied",5100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Life satisfaction, satisfied or very satisfied",3200.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Life satisfaction, satisfied or very satisfied",7000.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Life satisfaction, satisfied or very satisfied",66.1
2023,Newfoundland and Labrador,12 to 14 years,Female,"Life satisfaction, satisfied or very satisfied",46.8
2023,Newfoundland and Labrador,12 to 14 years,Female,"Life satisfaction, satisfied or very satisfied",85.4
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, fair or poor",7500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, fair or poor",5500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, fair or poor",9500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, fair or poor",97.2
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, fair or poor",92.9
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived health, fair or poor",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, fair or poor",4300.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, fair or poor",2400.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, fair or poor",6200.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, fair or poor",55.5
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, fair or poor",35.1
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived mental health, fair or poor",75.9
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily or occasionally",7500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily or occasionally",5500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily or occasionally",9400.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily or occasionally",96.7
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily or occasionally",90.3
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily or occasionally",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily",7700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily",5800.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily",9700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Smoking, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Cannabis use in the past 12 months,5900.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Cannabis use in the past 12 months,3900.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Cannabis use in the past 12 months,7900.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Cannabis use in the past 12 months,80.5
2023,Newfoundland and Labrador,12 to 14 years,Female,Cannabis use in the past 12 months,66.1
2023,Newfoundland and Labrador,12 to 14 years,Female,Cannabis use in the past 12 months,94.9
2023,Newfoundland and Labrador,12 to 14 years,Female,"Cannabis use in the past 12 months, daily or almost daily",7100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Cannabis use in the past 12 months, daily or almost daily",5100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Cannabis use in the past 12 months, daily or almost daily",9000.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Cannabis use in the past 12 months, daily or almost daily",96.5
2023,Newfoundland and Labrador,12 to 14 years,Female,"Cannabis use in the past 12 months, daily or almost daily",89.8
2023,Newfoundland and Labrador,12 to 14 years,Female,"Cannabis use in the past 12 months, daily or almost daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Used  e-cigarette or vaping device, past 30 days",6500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Used  e-cigarette or vaping device, past 30 days",4500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Used  e-cigarette or vaping device, past 30 days",8500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Used  e-cigarette or vaping device, past 30 days",83.8
2023,Newfoundland and Labrador,12 to 14 years,Female,"Used  e-cigarette or vaping device, past 30 days",70.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Used  e-cigarette or vaping device, past 30 days",97.7
2023,Newfoundland and Labrador,12 to 14 years,Female,"Self-reported physical activity, average 60 or more minutes per day",3100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Self-reported physical activity, average 60 or more minutes per day",1400.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Self-reported physical activity, average 60 or more minutes per day",4800.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Self-reported physical activity, average 60 or more minutes per day",75.8
2023,Newfoundland and Labrador,12 to 14 years,Female,"Self-reported physical activity, average 60 or more minutes per day",53.6
2023,Newfoundland and Labrador,12 to 14 years,Female,"Self-reported physical activity, average 60 or more minutes per day",98.1
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,3400.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,1700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,5100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,44.3
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,24.9
2023,Newfoundland and Labrador,12 to 14 years,Female,Headache,63.7
2023,Newfoundland and Labrador,12 to 14 years,Female,Stomach ache,4700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Stomach ache,2700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Stomach ache,6600.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Stomach ache,60.4
2023,Newfoundland and Labrador,12 to 14 years,Female,Stomach ache,41.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Stomach ache,79.8
2023,Newfoundland and Labrador,12 to 14 years,Female,Backache,3300.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Backache,1600.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Backache,5000.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Backache,43.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Backache,23.5
2023,Newfoundland and Labrador,12 to 14 years,Female,Backache,62.5
2023,Newfoundland and Labrador,12 to 14 years,Female,Difficulties in getting to sleep,3900.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Difficulties in getting to sleep,2000.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Difficulties in getting to sleep,5700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Difficulties in getting to sleep,49.9
2023,Newfoundland and Labrador,12 to 14 years,Female,Difficulties in getting to sleep,29.8
2023,Newfoundland and Labrador,12 to 14 years,Female,Difficulties in getting to sleep,70.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Changed eating habits to manage weight,5400.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Changed eating habits to manage weight,3500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Changed eating habits to manage weight,7300.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Changed eating habits to manage weight,69.6
2023,Newfoundland and Labrador,12 to 14 years,Female,Changed eating habits to manage weight,49.6
2023,Newfoundland and Labrador,12 to 14 years,Female,Changed eating habits to manage weight,89.5
2023,Newfoundland and Labrador,12 to 14 years,Female,"Changed eating habits to manage weight, daily",7100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Changed eating habits to manage weight, daily",5200.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Changed eating habits to manage weight, daily",9000.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Changed eating habits to manage weight, daily",91.5
2023,Newfoundland and Labrador,12 to 14 years,Female,"Changed eating habits to manage weight, daily",80.6
2023,Newfoundland and Labrador,12 to 14 years,Female,"Changed eating habits to manage weight, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Preoccupied with a desire to be thinner,4200.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Preoccupied with a desire to be thinner,2400.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Preoccupied with a desire to be thinner,5900.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Preoccupied with a desire to be thinner,53.9
2023,Newfoundland and Labrador,12 to 14 years,Female,Preoccupied with a desire to be thinner,34.8
2023,Newfoundland and Labrador,12 to 14 years,Female,Preoccupied with a desire to be thinner,73.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Preoccupied with a desire to be thinner, daily",5400.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Preoccupied with a desire to be thinner, daily",3500.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Preoccupied with a desire to be thinner, daily",7400.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Preoccupied with a desire to be thinner, daily",70.2
2023,Newfoundland and Labrador,12 to 14 years,Female,"Preoccupied with a desire to be thinner, daily",52.5
2023,Newfoundland and Labrador,12 to 14 years,Female,"Preoccupied with a desire to be thinner, daily",87.9
2023,Newfoundland and Labrador,12 to 14 years,Female,Vomited to lose weight,7700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Vomited to lose weight,5800.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Vomited to lose weight,9700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Vomited to lose weight,100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Vomited to lose weight,100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,Vomited to lose weight,100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Vomited to lose weight, daily",7700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Vomited to lose weight, daily",5800.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Vomited to lose weight, daily",9700.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Vomited to lose weight, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Vomited to lose weight, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Vomited to lose weight, daily",100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived life stress, most days quite a bit or extremely stressful",5000.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived life stress, most days quite a bit or extremely stressful",3100.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived life stress, most days quite a bit or extremely stressful",6900.0
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived life stress, most days quite a bit or extremely stressful",64.6
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived life stress, most days quite a bit or extremely stressful",45.4
2023,Newfoundland and Labrador,12 to 14 years,Female,"Perceived life stress, most days quite a bit or extremely stressful",83.9
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",2300.0
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",800.0
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",3800.0
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",33.3
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",14.3
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived life stress, most days quite a bit or extremely stressful",52.3
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived health, excellent or very good",4800.0
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived health, excellent or very good",2700.0
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived health, excellent or very good",6800.0
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived health, excellent or very good",68.3
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived health, excellent or very good",49.7
2023,Newfoundland and Labrador,15 to 17 years,Male,"Perceived health, excellent or very good",87.0
